,zipcode,review_score_group,review_scores_rating,review_score_normalized
0,28701,0-1 star,0,0
1,28701,1-2 star,0,0
2,28701,2-3 star,0,0
3,28701,3-4 star,0,0
4,28701,4-5 star,0,0
5,28704,0-1 star,0,0
6,28704,1-2 star,0,0
7,28704,2-3 star,0,0
8,28704,3-4 star,0,0
9,28704,4-5 star,117,117
10,28715,0-1 star,0,0
11,28715,1-2 star,0,0
12,28715,2-3 star,0,0
13,28715,3-4 star,0,0
14,28715,4-5 star,44,44
15,28730,0-1 star,0,0
16,28730,1-2 star,0,0
17,28730,2-3 star,0,0
18,28730,3-4 star,0,0
19,28730,4-5 star,1,1
20,28732,0-1 star,0,0
21,28732,1-2 star,0,0
22,28732,2-3 star,0,0
23,28732,3-4 star,0,0
24,28732,4-5 star,46,46
25,28748,0-1 star,0,0
26,28748,1-2 star,0,0
27,28748,2-3 star,0,0
28,28748,3-4 star,0,0
29,28748,4-5 star,2,2
30,28801,0-1 star,0,0
31,28801,1-2 star,0,0
32,28801,2-3 star,0,0
33,28801,3-4 star,4,4
34,28801,4-5 star,483,483
35,28803,0-1 star,0,0
36,28803,1-2 star,0,0
37,28803,2-3 star,0,0
38,28803,3-4 star,3,3
39,28803,4-5 star,301,301
40,28804,0-1 star,0,0
41,28804,1-2 star,1,1
42,28804,2-3 star,0,0
43,28804,3-4 star,3,3
44,28804,4-5 star,261,261
45,28805,0-1 star,0,0
46,28805,1-2 star,0,0
47,28805,2-3 star,0,0
48,28805,3-4 star,0,0
49,28805,4-5 star,256,256
50,28806,0-1 star,0,0
51,28806,1-2 star,0,0
52,28806,2-3 star,1,1
53,28806,3-4 star,6,6
54,28806,4-5 star,621,621
55,28814,0-1 star,0,0
56,28814,1-2 star,0,0
57,28814,2-3 star,0,0
58,28814,3-4 star,0,0
59,28814,4-5 star,0,0
60,28815,0-1 star,0,0
61,28815,1-2 star,0,0
62,28815,2-3 star,0,0
63,28815,3-4 star,0,0
64,28815,4-5 star,1,1
